Run2022C
355862:8016,07/19/22 18:12:03,13,13,792457.936319948,626192.872314636
355863:8016,07/19/22 18:19:43,14,14,840240.120076367,737607.595075226
355870:8017,07/19/22 23:02:43,37,37,1810528.813468843,1564059.844602266
355871:8017,07/19/22 23:17:54,5,5,167393.245882236,148624.034660648
355872:8017,07/19/22 23:24:45,1197,1197,77862176.275213689,69670631.120259821
355892:8018,07/20/22 10:25:02,184,184,11272113.972358625,10783757.450673379
355912:8019,07/20/22 14:18:53,158,158,10012808.130671484,9000125.923860593
355913:8019,07/20/22 15:22:09,106,106,6321537.797275729,5841850.586846851
355921:8020,07/20/22 18:50:02,405,405,24593130.033738721,22803612.859084941
355933:8022,07/21/22 02:06:05,374,374,716866.948784075,709735.382770182
355942:8023,07/21/22 06:46:45,187,187,1449025.658616588,1366195.793326304
355988:8027,07/21/22 23:03:32,44,44,3434926.142478998,2782140.432899848
355989:8027,07/21/22 23:23:47,24,24,2277843.896657710,1268137.782725295
355998:8027,07/22/22 01:35:51,35,35,3075828.954141541,2649536.834712815
355999:8027,07/22/22 01:51:17,9,9,774760.877800860,646332.237963086
356004:8027,07/22/22 04:04:14,19,19,1415493.952984711,1358212.866839899
356005:8027,07/22/22 04:14:46,187,187,12631529.991517205,12166486.410127727
356043:8030,07/22/22 18:00:07,65,65,6828245.871724813,5587473.647686182
356071:8033,07/23/22 12:43:15,155,155,17433971.675335295,15297014.886836817
356074:8033,07/23/22 15:21:04,26,26,3176619.316332306,3004375.602924027
356075:8033,07/23/22 15:57:05,125,125,15143257.066473149,13918013.563551625
356076:8033,07/23/22 16:56:57,153,152,18780299.078754704,17147607.905360769
356077:8033,07/23/22 17:58:32,472,472,51936093.734662428,49782857.226619966
356135:8043,07/25/22 11:06:59,26,26,2884945.553793665,2624847.509514151
356309:8057,07/27/22 17:56:02,124,124,11790413.411981888,10947991.974758670
356316:8058,07/27/22 21:40:02,141,141,9481466.326557066,9289954.580533665
356322:8059,07/28/22 01:35:06,19,19,2279702.323767426,2064845.757443514
356323:8059,07/28/22 01:45:01,649,649,75836396.535029545,72084168.854026139
356371:8062,07/28/22 16:46:34,16,16,1844580.794089636,1552839.720988796
356375:8063,07/28/22 19:04:41,68,68,8817905.238983311,6539210.645672602
356378:8063,07/28/22 20:10:25,295,295,43237585.060374372,41584402.400584176
356381:8063,07/28/22 22:10:47,1193,1193,133362630.234466717,131360426.651909813
356383:8063,07/29/22 06:04:41,33,33,2908269.299722469,2867925.397523531
356385:8063,07/29/22 06:26:25,30,30,2650307.683485043,2467943.302818215
356386:8063,07/29/22 06:41:02,122,122,8822512.717486585,8702745.603886560
356426:8067,07/29/22 13:50:08,22,22,3115109.991717810,2569637.729348205
356428:8067,07/29/22 14:11:32,300,300,47755357.142381079,45819524.092424281
356433:8067,07/29/22 17:20:28,310,310,49664722.439190701,47815436.269221179
356434:8067,07/29/22 19:22:54,13,13,1950283.754512673,1716760.532156762
356435:8067,07/29/22 19:31:01,4,4,596088.028744222,438618.883494135
356446:8068,07/29/22 22:05:30,614,614,95885996.979961649,92805782.861206681
356523:8076,07/31/22 18:51:42,866,866,164037215.830998987,160945095.516897321
356531:8076,08/01/22 02:10:15,56,56,9119290.225923855,8972442.467284638
356563:8078,08/01/22 14:49:18,294,294,52941361.177401379,51876776.917482756
356568:8079,08/01/22 18:52:46,23,23,3715000.960622920,3199443.911163690
356569:8079,08/01/22 19:05:00,251,250,47074721.139428303,45312650.614541233
356570:8079,08/01/22 20:47:20,98,98,19518264.515205249,19096323.343473129
356576:8081,08/02/22 05:11:08,183,183,27173701.671317793,26012516.246339817
356578:8081,08/02/22 06:39:29,865,865,157385367.912267506,154532408.868347079
356580:8081,08/02/22 12:21:24,51,50,8036194.840912970,7737179.699351641
356582:8081,08/02/22 13:25:57,98,98,14402744.610731125,14266999.911287365
356614:8083,08/02/22 18:26:15,50,50,9273548.949445114,7887264.166215406
356615:8083,08/02/22 18:53:13,1297,1297,235607582.228799582,231009012.077029258
356619:8083,08/03/22 03:31:02,173,173,24261009.069232706,23994573.115536910
356810:8094,08/05/22 02:20:11,120,120,26112336.080408420,25467671.809040833
356811:8094,08/05/22 03:13:06,44,44,13371369.989925183,12876828.683827024
356812:8094,08/05/22 03:35:55,107,107,31002956.537699386,30017322.133384071
356813:8094,08/05/22 04:22:46,54,54,15021088.113209778,14540906.587173218
356814:8094,08/05/22 04:48:52,669,669,159161515.473903984,156110900.424114466
356815:8094,08/05/22 09:13:01,98,98,19544334.559000786,19132266.974155944
356824:8094,08/05/22 10:39:04,66,66,10418841.541685322,9480247.794319013
356908:8098,08/06/22 01:30:07,26,26,7645125.694559757,7133667.273939900
356919:8099,08/06/22 03:56:45,88,88,21980426.831231646,21177151.768432781
356937:8100,08/06/22 14:02:16,119,119,29646087.385824859,28320198.643133536
356946:8102,08/06/22 19:52:44,129,129,38655171.347619958,34494078.934929587
